movie_id,title,genre,rating,budget_million,gross_million,director,lead_actor,release_year
1,Movie 1,Thriller,4.2,100,,Cameron,,2017
2,Movie 2,Sci-Fi,7.8,150,150,Nolan,Actor B,2019
3,Movie 3,Thriller,4.9,30,600,Spielberg,Actor D,2016
4,Movie 4,Thriller,9.1,100,600,Rajamouli,Actor D,2015
5,Movie 5,Sci-Fi,4.5,10,600,Cameron,Actor C,2022
6,Movie 6,Romance,7.2,,600,Scorsese,Actor C,2019
7,Movie 7,Horror,8.5,30,,,Actor D,2017
8,Movie 8,Comedy,7.8,60,20,Spielberg,Actor B,2018
9,Movie 9,Romance,8.3,,20,Cameron,Actor A,2018
10,Movie 10,Sci-Fi,5,,20,Spielberg,Actor B,2019
11,Movie 11,Thriller,9.4,,,Scorsese,Actor B,2017
12,Movie 12,Comedy,7.9,,80,,Actor A,2018
13,Movie 13,Thriller,5.8,,20,,Actor D,2015
14,Movie 14,Drama,7.7,150,150,Cameron,Actor E,2021
15,Movie 15,Comedy,8.9,100,150,Cameron,Actor E,2021
16,Movie 16,Action,3.7,,,Rajamouli,,2022
,Movie 17,Horror,3.7,60,150,,Actor B,
18,Movie 18,Drama,9.2,100,600,Spielberg,Actor E,2017
19,Movie 19,Drama,,,80,Cameron,Actor B,2020
20,Movie 20,Action,3.9,60,150,Tarantino,Actor C,2018
21,Movie 21,Thriller,8.6,10,,,Actor B,2020
22,Movie 22,Sci-Fi,7.5,100,150,Scorsese,Actor D,2017
23,Movie 23,Comedy,4.9,100,300,Nolan,Actor C,2022
24,Movie 24,Drama,5.6,100,300,Tarantino,Actor A,2017
25,Movie 24,Horror,5.3,30,80,Cameron,Actor D,2017
26,Movie 26,Fantasy,7.1,,20,Tarantino,,2020
27,Movie 27,Action,8.6,60,80,,Actor D,2020
28,Movie 28,Action,7.2,10,300,Nolan,,2016
29,Movie 29,Romance,8.5,60,20,Nolan,Actor B,2020
30,Movie 30,Fantasy,7.4,,80,,Actor D,2019
31,Movie 31,Drama,4.4,30,150,Rajamouli,,2016
32,Movie 32,Action,8.1,100,,Rajamouli,Actor C,2022
33,Movie 33,Sci-Fi,7.6,,80,Scorsese,Actor E,2016
,Movie 34,Horror,6.9,150,300,Tarantino,Actor D,
35,Movie 35,Comedy,4.8,100,600,Scorsese,Actor B,2022
36,Movie 36,Horror,8.4,150,20,Cameron,,2017
37,Movie 37,Action,6.1,100,300,,Actor B,2015
38,Movie 38,Romance,,100,600,Scorsese,Actor E,2016
39,Movie 39,Romance,5.4,60,80,Cameron,Actor B,
40,Movie 40,Horror,4.7,100,80,Spielberg,Actor D,2020
41,Movie 41,Sci-Fi,9.5,60,20,Spielberg,Actor D,2016
42,Movie 42,Action,5.8,60,,Nolan,Actor D,2016
43,Movie 43,Drama,7.5,150,300,Rajamouli,Actor B,2019
44,Movie 44,Comedy,4.5,150,150,Cameron,Actor C,
45,Movie 45,Romance,6.3,150,,Tarantino,Actor E,2019
46,Movie 46,Horror,4.1,60,600,Scorsese,Actor D,2015
47,Movie 47,Drama,5.6,60,150,Rajamouli,Actor D,2015
48,Movie 48,Action,6.8,60,,Tarantino,Actor A,
49,Movie 49,Sci-Fi,4.1,100,300,Tarantino,Actor D,2022
50,Movie 49,Fantasy,5.9,100,20,Rajamouli,,2022
,Movie 51,Fantasy,9.1,60,80,Tarantino,Actor D,2019
52,Movie 52,Thriller,9,10,300,,Actor B,2018
53,Movie 53,Comedy,5.6,100,150,Scorsese,,
54,Movie 54,Romance,7.6,,80,Scorsese,Actor B,2022
55,Movie 55,Romance,6.9,30,300,Spielberg,Actor E,2021
56,Movie 56,Drama,4.5,100,300,Scorsese,Actor A,2016
57,Movie 57,Action,,60,300,Rajamouli,Actor E,2021
58,Movie 58,Drama,5.2,30,300,Cameron,Actor E,2015
59,Movie 59,Sci-Fi,7.3,30,300,Nolan,,2021
60,Movie 60,Drama,8.8,,,,Actor E,2016
61,Movie 61,Thriller,5.5,100,600,Nolan,Actor B,2019
62,Movie 62,Thriller,3.8,100,150,Tarantino,Actor A,2017
63,Movie 63,Action,5.1,30,20,Nolan,Actor C,
64,Movie 64,Romance,6.5,,150,Cameron,Actor D,2020
65,Movie 65,Fantasy,8.6,100,600,Rajamouli,Actor C,2021
66,Movie 66,Comedy,7,60,80,Scorsese,Actor A,2019
67,Movie 67,Horror,6.7,150,80,Tarantino,Actor C,2016
,Movie 68,Fantasy,6.2,,80,Scorsese,Actor E,2015
